state,Cases,Deaths
New York,441911,33019
New Jersey,195414,16014
California,751615,14100
Texas,669652,13930
Florida,654731,12326
Massachusetts,123546,9166
Illinois,257566,8461
Pennsylvania,146696,7807
Michigan,120846,6894
Georgia,289123,6204
Arizona,207002,5273
Louisiana,155419,5161
Connecticut,54093,4478
Ohio,134086,4354
Maryland,114724,3828
Indiana,102243,3410
North Carolina,180754,2990
South Carolina,126592,2975
Virginia,131571,2711
Mississippi,88322,2656
Alabama,135565,2301
Tennessee,168237,1988
Washington,78467,1985
Colorado,60155,1979
Minnesota,82249,1936
Missouri,98894,1713
Nevada,72546,1429
Iowa,72749,1208
Wisconsin,84881,1193
Rhode Island,22782,1067
Kentucky,54772,1035
Arkansas,66804,940
Oklahoma,66700,876
New Mexico,26429,816
District of Columbia,14493,616
Delaware,18466,613
Puerto Rico,36581,523
Kansas,47911,504
Oregon,28654,497
New Hampshire,7573,434
Nebraska,37373,430
Utah,56019,430
Idaho,34617,407
West Virginia,12016,258
South Dakota,15834,177
North Dakota,14443,160
Maine,4760,134
Montana,8663,123
Hawaii,10292,94
Vermont,1661,58
Wyoming,4199,42
Alaska,6012,42